262, 94, 16, 26
261, 92, 16, 27
260, 91, 16, 28
259, 89, 18, 30
258, 88, 17, 30
257, 87, 17, 31
254, 85, 18, 31
252, 83, 18, 32
251, 81, 19, 33
249, 80, 19, 32
248, 76, 20, 32
247, 75, 20, 33
246, 73, 18, 33
244, 72, 20, 34
242, 69, 20, 34
241, 69, 20, 32
239, 67, 20, 32
239, 65, 20, 34
236, 62, 21, 36
235, 61, 21, 35
232, 59, 22, 36
230, 56, 22, 38
228, 55, 23, 37
227, 54, 23, 37
226, 52, 24, 37
225, 50, 25, 37
225, 48, 24, 37
224, 47, 26, 36
224, 44, 25, 37
223, 44, 25, 37
221, 41, 26, 38
219, 40, 26, 38
216, 37, 26, 39
215, 36, 27, 40
214, 34, 26, 41
213, 30, 26, 45
212, 28, 26, 45
210, 25, 26, 46
209, 23, 27, 47
205, 20, 28, 47
204, 19, 28, 48
202, 18, 29, 49
202, 17, 28, 51
201, 17, 29, 51
201, 15, 28, 54
201, 13, 28, 55
201, 13, 29, 55
202, 13, 29, 55
204, 13, 29, 54
205, 13, 29, 53
206, 13, 30, 53
206, 13, 30, 53
207, 13, 30, 53
208, 13, 29, 54
209, 12, 30, 55
208, 11, 31, 56
210, 10, 31, 51
213, 11, 32, 51
214, 10, 33, 52
217, 8, 33, 51
218, 8, 35, 52
218, 7, 35, 56
221, 13, 34, 55
229, 31, 34, 61
232, 39, 38, 65
244, 58, 35, 61
263, 63, 37, 62
267, 53, 41, 62
271, 45, 41, 60
284, 6, 40, 70
286, 0, 45, 77
291, 0, 44, 72
298, 3, 45, 73
321, 5, 53, 71
331, 9, 56, 69
337, 6, 56, 73
339, 8, 63, 72
348, 12, 63, 76
353, 18, 64, 92
357, 21, 63, 97
360, 24, 62, 101
366, 46, 63, 103
366, 53, 65, 109
367, 64, 71, 107
367, 65, 72, 101
369, 64, 72, 98
367, 62, 76, 98
370, 56, 75, 100
370, 55, 75, 102
370, 51, 78, 98
370, 51, 79, 98
370, 48, 79, 100
371, 48, 79, 98
372, 47, 79, 98
372, 47, 80, 97
373, 47, 80, 96
373, 47, 82, 95
374, 47, 82, 95
374, 46, 82, 95
373, 46, 82, 95
374, 45, 81, 96
373, 44, 82, 97
373, 45, 82, 98
372, 46, 81, 98
370, 46, 82, 99
369, 47, 81, 102
368, 48, 81, 104
368, 48, 81, 103
368, 50, 80, 103
369, 51, 77, 104
368, 54, 78, 104
367, 54, 79, 105
367, 55, 77, 104
366, 57, 77, 105
364, 56, 79, 105
362, 59, 81, 105
360, 59, 81, 105
360, 61, 78, 102
360, 61, 77, 101
359, 61, 78, 100
358, 62, 78, 100
357, 63, 77, 98
356, 64, 77, 97
355, 64, 76, 97
355, 64, 75, 96
354, 64, 76, 96
352, 65, 77, 97
352, 65, 77, 98
350, 66, 78, 101
350, 66, 78, 103
351, 67, 75, 102
350, 66, 76, 102
348, 67, 76, 104
348, 66, 75, 104
347, 66, 75, 106
347, 66, 74, 108
346, 66, 73, 109
346, 65, 72, 111
345, 65, 73, 112
345, 66, 72, 112
345, 67, 72, 113
344, 67, 71, 112
